Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
001547982,Nineteenth edition ... enlarged.,London,1801,,[A New Geographical,GUTHRIE,FERGUSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001547982,British Library HMNTS 795.h.31.
001547985,Twenty-third edition ... revised.,London,1819,,[A new geographical,GUTHRIE,FERGUSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001547985,British Library HMNTS 10004.h.25.
001547993,,London,1811,F. C. & J. Rivington,A System of Modern Geography ... The astronomical part by James Ferguson ... The seventh edition,GUTHRIE,FERGUSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001547993,British Library HMNTS 10004.t.1.
001549628,,London,1850,,Comparative Physical Geography; or the earth in relation to man ... Translated from the French by C. C. Felton,GUYOT,FELTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001549628,British Library HMNTS 10002.c.27.
001549629,[Another edition.] The Earth and Man: lectures on comparative physical geography in its relation to the history of mankind. Translated from the French,London,1850,,[Comparative Physical Geography; or the earth in relation to man ... Translated from the French by C. C. Felton,GUYOT,FELTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001549629,British Library HMNTS 1296.d.17.
001549853,,Paris,[1873,,Histoire des Prolétaires depuis les temps les plus reculés jusqu'à nos jours ... Dessins et gravures ... Deuxième édition,GUYOT,LACROIX,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001549853,British Library HMNTS 9007.h.3.
001551248,,London,1744,,The gymnasiad,,WHITEHEAD,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001551248,British Library HMNTS 11630.b.5.(12.)|British Library HMNTS 11630.c.13.(13.)|British Library HMNTS 643.k.5.(5.)
001551954,,London,1720,,A new Miscellany of original poems,H.,HARCOURT - Esq|Manley,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001551954,British Library HMNTS 11631.c.25.|British Library HMNTS 1077.l.28.
001552020,,Boston [Mass.],1892,A. Mudge & Son,A Daughter of the Druids. [A novel.] By A. K. H[opkins],H.,HOPKINS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552020,British Library HMNTS 012641.ee.57.
001552224,,London,1861,,Life in the land of the Fire Worshipper. By Charles de H*********. Edited by Frederika Bremer,H*********,BREMER,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552224,British Library HMNTS 12636.c.11.
001552290,,London,1824,Baldwin,Elgiva,E. H.,Ham,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552290,British Library HMNTS 11646.h.20.
001552493,,Truro,1891,[Printed for private circulation],Memorials of Lostwithiel [and of Restormell]: collected and contributed. Taken from the writings of Leland,H.,HEXT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552493,British Library HMNTS 010358.h.20.
001552522,,Madras,1865,Asylum Press,The Adventures of the Rev. Doctor Prosody in the Island of Rathlin. A serio-comic poem. By G. H[arvey],H.,HARVEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552522,British Library HMNTS 11645.e.43.
001552689,,Limerick,1891,McKern & Sons,Holiday Haunts on the West Coast of Clare,H.,HARRIS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552689,British Library HMNTS 10390.de.2.
001552712,,London,1890,Remington & Co.,Prince Maurice of Statland. [A novel.] By H. R. H. [i.e. C. MacKellar.],H.,MACKELLAR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552712,British Library HMNTS 012632.i.45.
001552775,,London,1897,West,The Centuries. A chronological synopsis of history on the “space-for-time” method. [Compiled by J. H.,J. H.,HUTCHINSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552775,British Library HMNTS 9004.m.14.
001552913,,Hull,1835,J. Purdon,Some Remarks on the Government of Workhouses,H.,SMITH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552913,British Library HMNTS 10347.e.34.(11.)
001552980,[Another edition.] A relic of Old London before the Great Fire. Paradise transplanted and restored in Shooe Lane (by J. H.,London,1871,,[Paradise transplanted and restored,H.,PEARSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552980,British Library HMNTS 10349.c.20.(4.)
001553560,,London,1864,Virtue Bros. & Co.,Blythe House. By R. F. H. [i.e. Rosa F. Hill.],H.,HILL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001553560,British Library HMNTS 12631.f.13.
001553618,,Oxford,1640,W. Turner,Sicily and Naples,H.,HARDING,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001553618,British Library HMNTS 644.e.26.|British Library HMNTS 162.c.62.
001553641,,Wedmore,1887,W. Pople,The Wedmore Chronicle. vol. 1. 1881 to 1887. vol. 2. 1888 to 1898. [Preface signed: S. H. A. H.,H.,HERVEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001553641,British Library HMNTS 10369.y.10.
001553747,,London,1896,J. D. Potter,Appendix to the Twelfth Edition of the Pilot's Handbook for the English Channel [by J. W. King]; giving the latest changes in Lights and Buoys,H.,HULL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001553747,British Library HMNTS 10496.aa.48.
001554950,,Kiel,[1896],,Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas,HAAS,KRUMM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001554950,British Library HMNTS 10260.f.4.
001556289,,London,1871,,The Tower of the Hawk; some passages in the history of the House of Hapsburg. By the author of “Chillon,,WILLYAMS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001556289,British Library HMNTS 12637.b.14.
001556481,,London,1872,,Stories from English History,HACK,SMITH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001556481,British Library HMNTS 9505.bbb.24.
001556891,,London; Guildford [printed],1880 [1879],S. Tinsley & Co.,European Slave life. [A novel.] ... Translated from the German by E. Woltmann,HACKLAENDER,WOLTMANN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001556891,British Library HMNTS 12640.f.8.
001557404,,Albany,1884,Joel Munsell's Sons,Hadden's Journal and Orderly Books. A Journal kept in Canada and upon Burgoyne's campaign in 1776 and 1777. ... Also orders ... issued by Sir G. Carleton,HADDEN,Rogers,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001557404,British Library HMNTS 9604.bb.1.
001557425,,Haddington,1895,D. & J. Croal,Charters and Writs concerning the Royal Burgh of Haddington,,JAMES,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001557425,British Library HMNTS 10370.ff.30.
001557490,,London,1867,,The History and Antiquities of H. H.: illustrated by lithographs from drawings by G. Cattermole,,Cattermole,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001557490,British Library HMNTS 10358.h.10.
001557709,[Another edition.] The Epic of Hades,London,1879,,[The Epic of Hades ... [By Sir Lewis Morris.] Fourth edition.],,CHAPMAN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001557709,British Library HMNTS 11649.h.8.
001557710,New edition.,London; Beccles [printed],1880,Kegan Paul & Co.,[The Epic of Hades ... [By Sir Lewis Morris.] Fourth edition.],,Morris,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001557710,British Library HMNTS 11651.h.17.
001557712,,Taunton,[1853.],,Hades,,HANCOCK,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001557712,British Library HMNTS 11646.g.51.(16.)
001558392,,Berlin und Potsdam [printed],1855,,Sanssouci,HAEBERLIN,HESSE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001558392,British Library HMNTS 10250.e.15.
001558544,,London,1883,Kegan Paul & Co.,A Visit to Ceylon ... Translated by Clara Bell,Haeckel,BELL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001558544,British Library HMNTS 010058.ee.41.|British Library OC T 13449
001559196,,Leipsic; London [printed],1859,Breitkopf & Härtel,Handel receiving the Laurel from Apollo. A poem by an unknown author,HAENDEL,CHRYSANDER,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001559196,British Library HMNTS 11601.g.27.(7.)
001559332,,La Paz,1898,,Tadeo Hænke. Escritos,HAENKE,BALLIVIÁN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001559332,British Library HMNTS 10480.e.23.
001559379,,London,1812,,Letters on the Nicobar Islands; their natural productions,HAENSEL,LATROBE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001559379,British Library HMNTS 979.i.26.(1.)|British Library HMNTS T.1477.(3.)
001559804,,Berlin,1867,,L. H.'s Geschichte der französischen Revolution 1789-1799. Herausgegeben von W. Oncken,HAEUSSER,ONCKEN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001559804,British Library HMNTS 9220.e.7.
001560233,,London,1801,For private circulation,The Old Hag in a Red Cloak. A romance. [In verse,,WATSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001560233,British Library HMNTS 11602.dd.5.(1.)
001560292,,London,1870,,Hagar. [A novel.] By the Author of “St. Olave's,,TABOR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001560292,British Library HMNTS 12627.h.9.
001561581,,London,1889,Longmans & Co.,Cleopatra,Haggard,GREIFFENHAGEN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001561581,British Library HMNTS 12625.t.1.
001561635,,London,1895,Longmans & Co.,Joan Haste ... With 20 illustrations by F. S. Wilson: Single Works,Haggard,WILSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001561635,British Library HMNTS 012628.e.20.
001561816,,London,1876,John Maxwell & Co.,Joshua Haggard's Daughter. A novel. By the author of “Lady Audley's Secret,HAGGARD,Braddon,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001561816,British Library HMNTS 12626.m.11.
001562803,,'s Gravenhage,1832,,Morgenwandelingen door en in den omtrek van s' Gravenhage; of Schoonheden en merkwaardige byzonderheden betrekkelijk deze Residentie,,ANDRIESSEN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001562803,British Library HMNTS 10270.d.13.
001563734,,London,1875,,Dorothea Waldegrave. A tale. Translated from the German [of “Vergib uns unsere Schuld”],HAHN-HAHN,HERBERT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001563734,British Library HMNTS 12637.c.11.
