Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000000206,,London,1879 [1878],S. Tinsley & Co.,Walter Forbes. [A novel.] By A. A,A. A.,FORBES,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
000000216,,London; Virtue & Yorston,1868,Virtue & Co.,All for Greed. [A novel. The dedication signed: A. A. A.,A.,BLAZE DE BURY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
000000218,,London,1869,Bradbury,Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A.,A.,BLAZE DE BURY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
000000472,,London,1851,James Darling,Welsh Sketches,A.,Appleyard,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
000000480,A new edition,London,1857,Wertheim & Macintosh,[The World in which I live,A.,BROOME,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
000000481,Fourth edition,London,1875,William Macintosh,[The World in which I live,A.,BROOME,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
000000519,,London,1872,The Author,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),A.,ASHLEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
000000667,,pp. 40. G. Bryan & Co: Oxford,,,The Coming of Spring,A.,ANDREWS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
000000874,,London],1676,,A Warning to the inhabitants of England,Remaʿ.,ADAMS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
000001143,,London,1679,,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),A.,OLDHAM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
000001280,,Coventry,1802,Printed by J. Turner,An Account of the many and great Loans,,CARTE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
000001808,,Christiania,1859,,Erindringer som Bidrag til Norges Historie fra 1800-1815. Anden Udgave ... Udgivet med nogle Rettelser og Tillæg af Christian C. A. Lange. Med Forfatterens Portraet,AALL,AALL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808,British Library HMNTS 9425.cc.37.
000001905,,Firenze,1888,,Gli Studi storici in terra d'Otranto ... Frammenti estratti in gran parte dall' Archivio Storico Italiano ... a cura e spese di L(uigi) G(iuseppe) D(e) S(imone),AAR,S.,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
000001929,,Amsterdam,1839,,De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.],,WITKAMP,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
000002836,,Savona,1897,,Cronache Savonesi dal 1500 al 1570 ... Accresciute di documenti inediti pubblicate e annotate dal dott. G. Assereto,ABATE,ASSERETO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836,British Library HMNTS 10136.h.24.
000002854,,London,1865,E. Moxon & Co.,See-Saw; a novel ... Edited [or rather,ABATI,READE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
000002956,,Paris,1860-63,,Géodésie d'une partie de la Haute Éthiopie,ABBADIE,RADAU,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956,British Library HMNTS 10096.i.19.
000002957,,Paris,1873,,[With eleven maps.],ABBADIE,RADAU,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957,British Library HMNTS 10095.i.13.
000003017,Nueva edicion,Puerto-Rico,1866,,[Historia geográfica,ABBAD Y LASIERRA,ACOSTA Y CALBO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017,British Library HMNTS 10480.h.18.
000003131,,New York,1899,W. Abbatt,The Crisis of the Revolution,ABBATT,ANDRÉ,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131,British Library HMNTS 9603.g.14.
000004598,,Hull,1814,The Author,Peace: a lyric poem. [With prefatory address by F. Wrangham?],ABBOTT,WRANGHAM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598,British Library HMNTS 11641.f.1.
000004884,,London,1820,J. Hatchard & Son,Abdallah; or,,BARHAM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
000004976,[Another edition.] Abdollatiphi historiæ Ægypti compendium ... Partim ipse vertit,Oxonii,1800,J. Cooke,[Abdollatiphi Historiæ Ægypti compendium. [With a Latin version by Edward Pocock the younger.] Arab. & Lat.],,WHITE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004976,British Library HMNTS 983.e.6.|British Library HMNTS 148.d.4.|British Library HMNTS G.15137.
000005382,,London,1847,Punch Office,The Comic History of England ... With ... coloured etchings,A'BECKETT,LEECH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
000005385,[Another edition.] Illustrated by John Leech.,London,[1897?],Bradbury,[The comic history of England ... With twenty coloured etchings,A'BECKETT,LEECH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
000005389,[Another edition.],London,[1897?],Bradbury,[The Comic History of Rome ... Illustrated by John Leech.],A'BECKETT,LEECH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
000005432,,Milano,1893,,Signa: opera in tre atti [founded on the novel entitled: “Signa” by Ouida] ... Traduzione ritmica di G. Mazzucato,A'BECKETT,MAZZUCATO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005432,British Library HMNTS 11779.g.8.(10.)
000006036,,London,1805,C. & R. Baldwin,The Venetian Outlaw,,ELLISTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006036,British Library HMNTS 642.i.25.|British Library HMNTS 164.g.68.
000006821,,Aberdeen,1837,J. Davidson & Co.,Description of the Coast between Aberdeen and Leith. [By William Duncan.]: Appendix,,DUNCAN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006821,British Library HMNTS 797.d.2.
000007521,,Wien,1896,,Aus Kaukasischen Ländern. Reisebriefe von H. Abich. Herausgegeben von dessen Witwe (A. Abich),ABICH,ABICH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007521,British Library HMNTS 10077.h.21.
000007630,,Abingdon,1898,W. H. Hooke,Selections from the Municipal Chronicles of the Borough of Abingdon from A.D. 1555 to A.D. 1897. Edited by B. Challenor,,CHALLENOR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007630,British Library HMNTS 10352.dd.26.
000008239,,Quebec,1899,L. J. Demers & Frère,The Plains of Abraham,,BROTANEK,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008239,British Library HMNTS 10470.ff.20.
000008435,,London,1892,Effingham Wilson & Co.,The Witwatersrand Gold Mines. A true and unvarnished account of their origin and progress ... Translated ... by H. C. Simonsen,ABRAHAM,SIMONSEN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008435,British Library HMNTS 7106.b.46.
000008440,,London,1894,Effingham Wilson,The New Era of the Goldmining Industry in the Witwatersrand ... Translated from the German by H. C. Simonsen. With an authentic map of the fields,ABRAHAM,SIMONSEN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008440,British Library HMNTS 07108.g.6.
000011361,,Leipzig,[1894-96,,Tirol und Vorarlberg ... Mit ... einer Karte,ACHLEITNER,UBL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011361,British Library HMNTS 10201.g.13.
000011852,,pp. 40. W. Cann: Plymouth,,,A Question of Holy Writ,ACKLAND - Lieut.,PLIMSOLL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011852,British Library HMNTS 011650.k.89.(4.)
000013074,,London,1899,W. Thacker & Co.,A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh ... With an appendix on Central Asian trade by Capt. S. H. Godfrey ... Illustrated from drawings by the author,ADAIR,GODFREY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013074,British Library HMNTS 10077.d.27.|British Library OC V 3030
000013364,,London,[1885],Griffith,A Hand-book and History of Sidmouth from the Triassic period up to “Now.” By אדם [Adam,,HUTCHINSON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013364,British Library HMNTS 10358.g.35.(4.)|British Library HMNTS 10352.d.32.
000014466,,London,[1860?],Adams & King,The Historie of Eald Street,,KING - Printer,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014466,British Library HMNTS 10352.i.24.
000014703,,1845,1846,,First (-Third) Annual Report on the Geology of the State of Vermont,,ADAMS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014703,British Library HMNTS 1254.h.9.
000015141,,London,1893,T. Fisher Unwin,The New Egypt. A social sketch. [Edited by J. W. Longsdon.],ADAMS,LONGSDON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015141,British Library HMNTS 010096.e.61.
000015146,,London,1894,T. Fisher Unwin,Tiberius: a drama ... With introduction by W. M. Rossetti,ADAMS,ROSSETTI,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000015146,British Library HMNTS 11781.gg.4.
000016173,,enk,1817,printed by W. Thorne,Memoirs of the Life and Doctrines of the late John Hunter,ADAMS,HUNTER,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016173,British Library HMNTS 982.c.27.|British Library HMNTS RB.23.b.4745.
000016543,,London,1816,John Murray,The Narrative of Robert Adams,Adams,COCK,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016543,British Library HMNTS 983.e.7.|British Library HMNTS 147.e.3.|British Library HMNTS G.2842.
000016544,[Another edition.],Boston,1817,Wells & Lilley,[The Narrative of Robert Adams,ADAMS,COCK,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000016544,British Library HMNTS 789.bb.21.
000017602,,London,1897,J. Bowden,East End Idylls ... With an introduction by the Hon. and Rev. J. G. Adderley,Adcock,ADDERLEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017602,British Library HMNTS 012625.i.5.
000017752,,Upsaliæ,[1833],,Acta historiam regis Chistierni II. illustrantia. Quae ... præside mag. Erico Gust. Geijer ... pro gradu philosophico p.p. P. A. Adde,ADDE,GEIJER,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000017752,British Library HMNTS 9425.bb.13.
000018173,[Another edition.] With a complete index. [With a portrait engraved by Hopewood.],London,1804,Vernor & Hood,[The Works of the late Right Honourable Joseph Addison,ADDISON,TICKELL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018173,British Library HMNTS 12269.d.7.
000018218,,Edinburgh,1859,James Nichol,The Poetical Works of Joseph Addison; Gay's Fables; and Somerville's Chase. With memoirs and critical dissertations by Rev. George Gilfillan: Two or more Works,Addison,Gilfillan,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018218,British Library HMNTS 11603.f.1.
000018347,,Yverdon,1777,,L'Esprit d'Addisson,ADDISON,A.,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018347,British Library HMNTS 12270.pp.15.
000018469,,Londini,1799,F. & C. Rivington,Addisoni Epistola missa ex Italiâ ad illustrem Dominum Halifax,ADDISON,MURPHY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000018469,British Library HMNTS 11647.f.44.(2.)
000019340,,St. Petersburg,1827,,Augustin Freiherr von Meyerberg und seine Reise nach Russland. Nebst einer von ihm auf diese Reise veranstalteten Sammlung von Ansichten,ADELUNG,MAYER,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000019340,British Library HMNTS 10291.e.1.
000020207,,Berlin,1866,,Studien zur Cultur-Geschichte Polens. Bd. 1,ADLER,Długosz,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020207,British Library HMNTS 9475.bbb.21.
000020960,,London,1853,Addey & Co.,The Diary and Houres of the Ladye Adolie,,PEPYS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000020960,British Library HMNTS 12620.d.7.
000021119,,London,1874,Chapman & Hall,Lays of Modern Oxford,,EDWARDS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021119,British Library HMNTS 11650.g.9.
000021430,,London,1790,J. Johnson,Adriano; or,,Hurdis,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021430,British Library HMNTS 11632.d.48.(2.)|British Library HMNTS 992.k.27.(3.)|British Library HMNTS 1508/379.(2.)
000021782,,London,[1817.],J. Johnston,The Adventures of a Post Captain. By a Naval Officer. [In verse.] With ... engravings,,WILLIAMS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000021782,British Library HMNTS 11642.g.19.
000022060,,Sceaux,1883,,Histoire de la Ville de Sceaux depuis son origine jusqu'à nos jours ... Sous la direction de ... M. Charaire ... Ouvrage illustré de gravures,ADVIELLE,CHARAIRE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022060,British Library HMNTS 10169.k.5.
000022105,,London,1795,J. Debrett,The National Advocates,,GIBBS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022105,British Library HMNTS 644.k.24.(5.)|British Library HMNTS 11641.h.11.(7.)
000022278,,Coblenz,1865,,Das Hochgebirge von Grindelwald. Naturbilder aus der schweizerischen Alpenwelt von C. Aeby und E. v. Fellenberg ... und Gerwer. Mit ... einer Karte in Farbendruck von R. Leuzinger,AEBY,FELLENBERG,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000022278,British Library HMNTS 10196.f.21.
000023565,,London,1877,Chatto & Windus,Prometheus the Fire-giver. An attempted restoration of the lost first part of the Prometheian Trilogy of Æschylus. [By William Cox Bennett.]: Appendix,Aeschylus.,BENNETT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000023565,British Library HMNTS 11652.c.8.
000024344,,Leipzig,1853,,Cosmographiam Æthici Istrici ab Hieronymo ex Graeco in Latinum breviarium redactam ... separato libello expressam primum edidit Henricus Wuttke. Accedunt duae tabulae,,WUTTKE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024344,British Library HMNTS 10006.d.7.(1.)
000024878,,London,1886,Hodder & Stoughton,The Children of Africa. Written for all English-speaking children. By ... the author of “The Children of India,,MARSTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000024878,British Library HMNTS 10095.e.1.
000027797,,London,[1834],William W. Clowes,Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay,,COOLEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000027797,British Library HMNTS 010096.h.36.
000028615,,Carlstad,1852-63,,Försök till en statsekonomisk statistik öfver Sverige. (Den statsekonomiska afdelningen af C. A. Agardh,Agardh,LJUNGBERG,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028615,British Library HMNTS 10281.e.6.
000028630,,Carlstad,1857,,Inledning till Sveriges fysiska geografi. Jemte upplysningar rörande ankologisk och fysisk karta öfver Sverige,Agardh,DAHLMAN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028630,British Library HMNTS 10280.ee.3.
000028758,,Boston,1866,Ticknor & Fields; J. R. Osgood,Geological Sketches. [The preface signed: E. C. A.,Agassiz,A.,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028758,British Library HMNTS 7108.aa.5.
000028784,,Paris,1869,,Voyage au Brésil,Agassiz,Agassiz,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028784,British Library HMNTS 10481.g.14.
000028873,,London,1853,Chapman & Hall,Agatha's Husband. A novel. By the author of “Olive,,Craik,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028873,British Library HMNTS 12626.e.16.
000028876,[Another edition.] With illustrations by Walter Crane.,London,1875,Macillan & Co.,[Agatha's Husband. A novel. By the author of “Olive,,CRANE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000028876,British Library HMNTS 12619.h.27.
000029031,,London,1827,William Carpenter,The Age Reviewed: a satire. [In verse. By Robert Montgomery.],,MONTGOMERY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029031,British Library HMNTS 992.l.33.
000029032,Second edition,London,1828,W. C. Wright,[The Age Reviewed: a satire. [In verse. By Robert Montgomery.]],,MONTGOMERY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029032,British Library HMNTS 11642.g.36.
000029285,,London,1876,Chapman & Hall,Through the Ages. A psychological romance. By the author of “The Honeymoon” [i.e. the Duke de Medina Pomar],,MEDINA-POMAR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029285,British Library HMNTS 12636.dd.5.
000029505,,A. Millar,1758,London,Agis: a tragedy,,HOME,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029505,British Library HMNTS 643.g.11.(7.)|British Library HMNTS 1607/5010.(2.)
000029844,,New York,1846,Leavitt,The Gem of the Season: with twenty plates by Sartain. Edited by J. H. Agnew,AGNEW,SARTAIN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000029844,British Library HMNTS 11602.h.35.
000030269,,Allahabad],1880,,Mathurá: a District Memoir. By F. S. Growse ... Second edition. Illustrated,,GROWSE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000030269,British Library HMNTS 10058.k.4.
000031858,,London,1823,G. & W. B. Whittaker,Ahasuerus,,MEDWIN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000031858,British Library HMNTS 993.i.1.
000032896,,Stuttgart,1887,,Skandinavische Hof- und Staatsgeschichten des neunzehnten Jahrhunderts. Nach den schwedischen Quellen des Dr. A. Ahnfelt von H. Martens,AHNFELT,MARTENS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000032896,British Library HMNTS 9431.bb.16.
000033745,,London,1825,Longman & Co.,The Works of Anna Lætitia Barbauld. With a memoir by Lucy Aikin,AIKIN,Aikin,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033745,British Library HMNTS 994.h.2.|British Library HMNTS G.12828.; G.12829.
000033833,,D. Appleton & Co,1850,New York,The Vicar of Wakefield ... Illustrated with numerous engravings. With an account of the author's life and writings by J. Aikin: The Vicar of Wakefield,Goldsmith,AIKIN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033833,British Library HMNTS 12626.w.18.
000033881,A new edition,London,1810,R. H. Evans,[Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit. To which are added some original pieces. [By J. Aikin.]],AIKIN,EVANS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000033881,British Library HMNTS 11622.c.1.
000034361,,Санктпетербургъ,1889,,Кіево-Софійскій Соборъ. Изслѣдованіе древней мозаической и фресковой живописи ... Съ 14 рисунками. (Оттискъ изъ „Записокъ Импер. Русск. Археол. Общ.” т. iv.) [With manuscript addenda in English.],AINALOV,REDN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034361,British Library HMNTS 10291.i.10.
000034463,,London,1872,J. Maxwell & Co.,Robert Ainsleigh. By the author of 'Lady Audley's Secret,AINSLEIGH,Braddon,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034463,British Library HMNTS 12627.n.1.
000034538,,Paisley,1892,Alexander Gardner,A Pilgrimage to the Land of Burns,AINSLIE,LATTO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034538,British Library HMNTS 12272.f.15.
000034785,,London,[1860,J. Maxwell & Co.,The illustrated universal gazetteer,,AINSWORTH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034785,British Library HMNTS 10003.d.14.
000034793,,London,[1872],C. Griffin & Co.,Wanderings in every Clime; or,AINSWORTH,Doré,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034793,British Library HMNTS 10027.h.8.
000034810,,London,1872,Tinsley Bros.,Boscobel; or,Ainsworth,RIMBAULT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034810,British Library HMNTS 12630.dd.1.
000034826,,London,1861,Chapman & Hall,The Constable of the Tower: an historical romance ... Illustrated by John Gilbert,Ainsworth,Gilbert,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034826,British Library HMNTS 12634.g.1.
000034852,New edition,London,[1874.],G. Routledge & Sons,[The Flitch of Bacon: or,Ainsworth,Gilbert,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034852,British Library HMNTS 12620.ee.28.
000034914,,London,1858 [1851-58],G. Routledge & Co.,Mervyn Clitheroe ... Illustrated by Hablot K. Browne,Ainsworth,BROWNE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034914,British Library HMNTS 12620.d.8.
000034952,,London,1860,Routledge,Ovingdean Grange. A tale of the South Downs. Illustrated by Hablot K. Browne,Ainsworth,BROWNE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034952,British Library HMNTS 12621.h.18.
000034967,[Another edition.] With illustrations by John Gilbert.,London,1857,G. Routledge & Co.,[Rookwood ... The fourth edition ... with illustrations by George Cruikshank. [With a portrait.]],Ainsworth,Gilbert,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034967,British Library HMNTS 12620.e.8.
000034987,,London,1857 [1856],G. Routledge & Co.,The Spendthrift: a tale ... With illustrations by Hablot K. Browne,Ainsworth,BROWNE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000034987,British Library HMNTS 12602.g.5.
000036171,,Paris,[1896],,L'Auvergne. Illustrations de A. Montader,Ajalbert,MONTADER,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036171,British Library HMNTS 10173.f.7.
000036231,,London,1878,William Poole,Plimsoll's England. A satire. By Ajax. [In verse.],,PLIMSOLL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036231,British Library HMNTS 11646.g.51.(21.)
000036521,[Another edition.] With memoir and critical dissertation by the Rev. George Gilfillan.,Edinburgh,1857,James Nichol,[The Poetical Works of Mark Akenside ... With a biographical sketch of the author (by Dr. Johnson).]: Collections,Akenside,Gilfillan,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036521,British Library HMNTS 11603.f.2.
000036531,,Napoli,1821,,[Hymn to the Naiads.] Alle Najadi. Inno alla Greca ... Recato in verso Italiano da T. J. Mathias,AKENSIDE,MATHIAS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036531,British Library HMNTS 11602.f.2.(6.)
000036721,,London,1897,Bliss & Sands,Triscombe Stone: a romance of the Quantock Hills,AKERMAN,HURST,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000036721,British Library HMNTS 012625.f.44.
000038673,,Ἐν Κερκυρᾳ,1891,,Κερκυραϊκα ἀπομνημονευματα. [Edited by I. Delotes.],ALBANAS,DELOTES,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038673,British Library HMNTS 10127.df.27.
000038986,,London,1827,William Marsh,Scenes and Occurrences in Albany and Cafferland,,PHILLIPS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000038986,British Library HMNTS 790.d.17.
000039670,,London,1808,T. & R. Hughes,Albert and Rosalie,,WARTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039670,British Library HMNTS 11779.c.23.
000039775,,Plymouth,1868,W. Cann,The Prince Albert,Albert - Prince Consort of Victoria,PLIMSOLL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000039775,British Library HMNTS 11602.ee.17.(1.)
000040021,,London,1886,Macmillan & Co.,The Cruise of Her Majesty's Ship “Bacchante,,DALTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040021,British Library HMNTS 10024.cc.26.
000040627,,Trento,1860,,Annali del principato ecclesiastico di Trento dal 1022 al 1540 compilati sui documenti da F. F. degli Alberti ... reintegrati ... da T. Gar,ALBERTI,GAR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040627,British Library HMNTS 10132.d.1.
000040680,,Amsterdam,1810,,De Kaffers aan de zuidkust van Afrika,ALBERTI,KONIJNENBURG,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040680,British Library HMNTS 10096.dd.2.
000040976,,Heilbronn,1886,,Francisci Albertini Opusculum de mirabilibus novae urbis Romae. Herausgegeben von August Schmarsow,ALBERTINI,SCHMARSOW,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000040976,British Library HMNTS 010136.f.78.
000041050,,Torino,1880,,Alla Nuova Guinea: ciò che ho veduto e ciò che ho fatto. [With illustrations of birds by J. Gould.],ALBERTIS,GOULD,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041050,British Library HMNTS 10491.ee.11.
000041096,,w Krakowie,1849,,Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.],ALBERTRANDY,ONACEWICZ,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041096,British Library HMNTS 9455.d.9.
000041097,[Another edition.] Panowanie Henryka Walezyusza i Stefana Batorego Królów Polskich. Z rękopismów Albertrandego,w Krakowie,1860,,[Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.]],ALBERTRANDY,ONACEWICZ,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041097,British Library HMNTS 9455.bb.35.
000041601,,London,1724,J. Roberts,Albion; or,,COOKE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041601,British Library HMNTS 642.i.5.(1.)
000041623,,London,1772,J. Wilkie,The Albion Princess: a pindaric ode. [By Robert Colvill.],,COLVILL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000041623,British Library HMNTS 11602.gg.29.(11.)
